id,address,city,state,zip,county,Activities,pet_friendly,camp_type,natural_features,num_enc
1101,"301 Willow Way","Lynn Haven ",FL,32444,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1102,"4039 Pipeline Road","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1103,"714 Venetian Way","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1104,"309 Brooke Court","Panama City ",FL,32404,Bay,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",4
1105,"8421 Thomas Drive","Panama City ",FL,32408,Bay,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",4
1106,"5038 North Cimarron Drive","Beverly Hills ",FL,34465,Citrus,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1107,"2436 Naples Avenue","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1108,"405 Savannah Park Way","Panama City Beach ",FL,32407,Bay,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1109,"800 West Street","Panama City ",FL,32404,Bay,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1110,"5620 Lilly Street","Panama City ",FL,32404,Bay,Hiking,NO,"Lodging, RVs, Tents",Forest,4
1111,"6435 West Hillsborough Avenue","Tampa ",FL,33634,Hillsborough,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",11
1112,"6912 Sunrise Drive","Panama City ",FL,32407,Bay,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",4
1113,"4604 West 19th Court","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1114,"7506 Harvey Street","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1115,"711 Tashanna Lane","Southport ",FL,32409,Bay,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1116,"1420 Turtleback Trail","Panama City ",FL,32413,Bay,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1117,"1906 Palmetto Avenue","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1118,"308 School Avenue","Panama City ",FL,32401,Bay,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1119,"1515 Chandlee Avenue","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1120,"235 Hugh Thomas Drive","Panama City ",FL,32404,Bay,"Climbing, Hiking",NO,"RVs, Tents","Forest, Mountains",4
1121,"1518 Jenks Avenue","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1122,"208 Waterford Drive","Lynn Haven ",FL,32444,Bay,Hiking,NO,"Lodging, RVs, Tents",Forest,4
1123,"1122 McDaniel Street","Sun City Center ",FL,33573,Hillsborough,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",11
1124,"9716 South Silver Lake Road","Fountain ",FL,32438,Bay,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",4
1125,"21402 Caribbean Lane","Panama City Beach ",FL,32413,Bay,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1126,"154 Boca Lagoon Drive","Panama City Beach ",FL,32408,Bay,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1127,"415 Lullwater Drive","Panama City Beach ",FL,32413,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1128,"1831 Frankford Avenue","Panama City ",FL,32405,Bay,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1129,"1439 2nd Street","Panama City ",FL,32409,Bay,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1130,"Tyndall Drive","Tyndall Air Force Base ",FL,32403,Bay,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",4
1131,"1364 Capri Drive","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1132,"7000 Hugh Drive","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1133,"103 North East Avenue","Panama City ",FL,32401,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1134,"1803 Hickory Avenue","Panama City ",FL,32405,Bay,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1135,"17878 Front Beach Road","Panama City Beach ",FL,32413,Bay,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1136,"234 East Beach Drive","Panama City ",FL,32401,Bay,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",4
1137,"9827 Davenport Avenue","Youngstown ",FL,32466,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1138,"4911 Alameda Street","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1139,"804 East 7th Court","Panama City ",FL,32401,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1140,"2203 West 24th Street","Panama City ",FL,32405,Bay,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1141,"1909 Wainwright Avenue","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1142,"4306 Bylsma Circle","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1143,"1405 Mercedes Avenue","Panama City ",FL,32401,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1144,"7758 Betty Louise Drive","Panama City ",FL,32404,Bay,"Climbing, Hiking",NO,"RVs, Tents","Forest, Mountains",4
1145,"7041 Coe Road","Panama City ",FL,32404,Bay,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1146,"1405 Hickory Avenue","Panama City ",FL,32401,Bay,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1147,"645 Malaga Place","Panama City Beach ",FL,32413,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1148,"6718 Keithley Road","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1149,"7047 Vinson Road","Panama City ",FL,32413,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1150,"111 Lakeview Terrace","Lynn Haven ",FL,32444,Bay,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1151,"17109 Guava Avenue","Panama City Beach ",FL,32413,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1152,"2527 Lisenby Avenue","Panama City ",FL,32405,Bay,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1153,"8315 Surf Drive","Panama City Beach ",FL,32408,Bay,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",4
1154,"4216 Lorraine Street","Panama City Beach ",FL,32408,Bay,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1155,"4113 Holiday Drive","Panama City ",FL,32408,Bay,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",4
1156,"400 US Highway 98","Mexico Beach ",FL,32456,Gulf,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
1157,"7549 Delancey Street","Youngstown ",FL,32466,Bay,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",4
1158,"111 20th Street","Mexico Beach ",FL,32456,Gulf,Hiking,NO,"Lodging, RVs, Tents",Forest,1
1159,"3035 Osprey Circle","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1160,"5603 Dune Creek Trail","Panama City ",FL,32404,Bay,"Climbing, Hiking",NO,"RVs, Tents","Forest, Mountains",4
1161,"121 Alpine Way","Panama City ",FL,32404,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1162,"104 Lakeridge Drive","Panama City ",FL,32405,Bay,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1163,"8221 Surf Drive","Panama City ",FL,32408,Bay,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",4
1164,"2508 Grant Avenue","Panama City ",FL,32405,Bay,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1165,"1814 US Highway 98","Mexico Beach ",FL,32456,Gulf,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",1
1166,"3502 Cottage Cove Lane","Panama City ",FL,32408,Bay,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1167,"802 Virginia Avenue","Lynn Haven ",FL,32444,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1168,"4125 Cobia Street","Panama City ",FL,32408,Bay,"Climbing, Hiking",NO,Tents,"Forest, Mountains",4
1169,"2716 Fairmont Drive","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1170,"7509 Linda Lane","Panama City ",FL,32404,Bay,Hiking,NO,"Lodging, RVs, Tents",Forest,4
1171,"16133 Hillsborough Boulevard","Port Charlotte ",FL,33954,Charlotte,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",6
1172,"3504 East 5th Street","Panama City ",FL,32401,Bay,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1173,"124 Crane Street","Panama City ",FL,32413,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1174,"17623 Norma Lane","Fountain ",FL,32438,Bay,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",4
1175,"1505 Sweet Bay Trail","Panama City Beach ",FL,32413,Bay,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1176,"5721 Frank Hough Road","Panama City ",FL,32404,Bay,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",4
1177,"2909 Minnesota Avenue","Lynn Haven ",FL,32444,Bay,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1178,"4333 Catherine Street","Panama City Beach ",FL,32408,Bay,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1179,"13415 Panama City Beach Parkway","Panama City Beach ",FL,32407,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1180,"4313 Bylsma Circle","Panama City ",FL,32404,Bay,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1181,"539 Palermo Road","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1182,"9119 Whispering Willow Way","Tampa ",FL,33614,Hillsborough,Hiking,YES,"Lodging, RVs, Tents",Forest,11
1183,"301 Argonaut Street","Panama City Beach ",FL,32413,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1184,"8614 Surf Drive","Panama City ",FL,32408,Bay,"Climbing, Hiking",NO,Tents,"Forest, Mountains",4
1185,"1211 Friendship Avenue","Panama City ",FL,32401,Bay,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1186,"713 Flight Avenue","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1187,"420 Cove Villa Street","Panama City Beach ",FL,32407,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1188,"5119 Marla Drive","Panama City ",FL,32404,Bay,Hiking,NO,"Lodging, RVs, Tents",Forest,4
1189,"6505 South Lagoon Drive","Panama City Beach ",FL,32408,Bay,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",4
1190,"325 Joseph Circle","Southport ",FL,32409,Bay,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1191,"1514 Wyoming Avenue","Lynn Haven ",FL,32444,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1192,"105 Ridgecrest Court","Panama City ",FL,32405,Bay,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",4
1193,"1025 West 19th Street","Panama City ",FL,32405,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1194,"3722 Kisling Loop","Tyndall Air Force Base ",FL,32403,Bay,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1195,"6412 Lenawee Street","Panama City ",FL,32404,Bay,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1196,"325 Alexander Drive","Lynn Haven ",FL,32444,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1197,"12610 Webber Road","Fountain ",FL,32438,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1198,"5444 Nicole Boulevard","Panama City ",FL,32404,Bay,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",4
1199,"102 Derondo Street","Panama City Beach ",FL,32413,Bay,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1200,"85 West Seymeria Drive","Beverly Hills ",FL,34465,Citrus,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1201,"7809 Highway 2302","Panama City ",FL,32409,Bay,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1202,"10802 Brickside Court","Riverview ",FL,33579,Hillsborough,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",11
1203,"150 Manistee Drive","Panama City Beach ",FL,32413,Bay,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1204,"512 North Center Avenue","Panama City ",FL,32401,Bay,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1205,"2318 Camryns Crossing","Panama City ",FL,32405,Bay,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1206,"2729 East 14th Street","Panama City ",FL,32401,Bay,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1207,"182 Regency Circle","Pooler ",GA,31322,Chatham,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1208,"228 East Huntingdon Street","Savannah ",GA,31401,Chatham,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
1209,"109 Peter's Quay","Savannah ",GA,31410,Chatham,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
1210,"121 Mills Run Drive","Savannah ",GA,31405,Chatham,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1211,"218 Durham Park Way","Pooler ",GA,31322,Chatham,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1212,"2139 Glynnwood Drive","Savannah ",GA,31404,Chatham,Hiking,NO,"Lodging, RVs, Tents",Forest,1
1213,"37 East Broad Street","Savannah ",GA,31401,Chatham,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1214,"2200 East Victory Drive","Savannah ",GA,31404,Chatham,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",1
1215,"13213 Spanish Moss Road","Savannah ",GA,31419,Chatham,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1216,"45 Heathcote Circle","Savannah ",GA,31405,Chatham,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
1217,"800 Quacco Road","Savannah ",GA,31419,Chatham,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1218,"4 Stemson Way","Port Wentworth ",GA,31407,Chatham,Hiking,YES,"Lodging, RVs, Tents",Forest,1
1219,"1326 U.S. 80","Garden City ",GA,31408,Chatham,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",1
1220,"2052 East 42nd Street","Savannah ",GA,31404,Chatham,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",1
1221,"36 Saint Ives Drive","Savannah ",GA,31419,Chatham,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
1222,"1 Tanaquay Court","Savannah ",GA,31411,Chatham,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
1223,"2803 River Drive","Thunderbolt ",GA,31404,Chatham,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",1
1224,"503 Early Street","Savannah ",GA,31405,Chatham,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
1225,"23 Cove Drive","Savannah ",GA,31419,Chatham,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1226,"3031 Montgomery Street","Savannah ",GA,31405,Chatham,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
1227,"1414 East Anderson Street","Savannah ",GA,31404,Chatham,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
1228,"514 East 38th Street","Savannah ",GA,31401,Chatham,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
1229,"4 Chamois Court","Pooler ",GA,31322,Chatham,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1230,"2212 Daffin Drive","Savannah ",GA,31404,Chatham,Hiking,NO,"Lodging, RVs, Tents",Forest,1
1231,"1403 Lincoln Street","Savannah ",GA,31401,Chatham,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1232,"711 Tatem Street","Savannah ",GA,31405,Chatham,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
1233,"217 West Congress Street","Savannah ",GA,31401,Chatham,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
1234,"1350 Exley Street","Savannah ",GA,31415,Chatham,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
1235,"127 Andover Drive","Savannah ",GA,31405,Chatham,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1236,"103 Aspen Place Northeast","Calhoun ",GA,30701,Gordon,Hiking,YES,"Lodging, RVs, Tents",Forest,0
1237,"26 Greenbriar Drive","Savannah ",GA,31419,Chatham,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1238,"7 Rose Dhu Lane","Savannah ",GA,31419,Chatham,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
1239,"344 Island Road","Savannah ",GA,31406,Chatham,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
1240,"102 Hayes Drive","Pooler ",GA,31322,Chatham,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
1241,"3 Hawser Way","Port Wentworth ",GA,31407,Chatham,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1242,"130 Carolina Cherry Circle","Pooler ",GA,31322,Chatham,Hiking,YES,"Lodging, RVs, Tents",Forest,1
1243,"105 Hunt Club Court","Savannah ",GA,31406,Chatham,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1244,"4 Marsh Haven Lane","Savannah ",GA,31411,Chatham,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
1245,"4112 Rockdale Street","Savannah ",GA,31405,Chatham,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1246,"1915 Dean Forest Road","Pooler ",GA,31322,Chatham,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
1247,"111 Edgewater Road","Savannah ",GA,31406,Chatham,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1248,"88 Pine Valley Road","Savannah ",GA,31404,Chatham,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",1
1249,"110 Oxford Road","Savannah ",GA,31419,Chatham,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1250,"3 Mad Anthony Lane","Savannah ",GA,31411,Chatham,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1251,"3110 East Victory Drive","Savannah ",GA,31404,Chatham,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
1252,"105 French Run Road","Savannah ",GA,31404,Chatham,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",1
1253,"904 Walthour Road","Savannah ",GA,31410,Chatham,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1254,"345 Tattnall Street","Savannah ",GA,31401,Chatham,Hiking,YES,"Lodging, RVs, Tents",Forest,1
1255,"816 East 69th Street","Savannah ",GA,31405,Chatham,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1256,"1363 Dean Forest Road","Savannah ",GA,31405,Chatham,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
1257,"5708 Beverly Street","Savannah ",GA,31405,Chatham,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
1258,"14006 Coffee Bluff Road","Savannah ",GA,31419,Chatham,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
1259,"517 West 33rd Street","Savannah ",GA,31415,Chatham,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1260,"1109 East 35th Street","Savannah ",GA,31404,Chatham,Hiking,NO,"Lodging, RVs, Tents",Forest,1
